Date,R_Open,R_High,R_Low,R_Close,R_Vol,N_Open,N_High,N_Low,N_Close,N_Vol,C_Open,C_High,C_Low,C_Close,C_Vol,FX_Open,FX_High,FX_Low,FX_Close,FX_Vol,RSI_14,RSI_7,EMA_12,EMA_26,SMA_20,SMA_50,MACD_MACD_12_26_9,MACD_MACDh_12_26_9,MACD_MACDs_12_26_9,BB_BBL_20_2.0_2.0,BB_BBM_20_2.0_2.0,BB_BBU_20_2.0_2.0,BB_BBB_20_2.0_2.0,BB_BBP_20_2.0_2.0,STOCH_STOCHk_14_3_3,STOCH_STOCHd_14_3_3,STOCH_STOCHh_14_3_3,ADX_ADX_14,ADX_ADXR_14_2,ADX_DMP_14,ADX_DMN_14,ATR_14,OBV,ROC_10,Target,R_return_1d,R_return_2d,R_return_3d,R_return_5d,R_return_10d,R_vol_5d,R_vol_20d,R_mom_10d,Nifty_return,Crude_return,FX_return
2018-05-17,423.77,424.06,415.89,417.59,10353948.0,10775.6,10777.25,10664.5,10682.7,214100.0,71.56,72.3,71.09,71.49,562639.0,67.77,68.06,67.57,68.06,0.0,45.74919684464528,33.740393602608684,427.0642965778106,423.04821239163726,426.7600000000001,412.3610000000001,4.016084186173373,-1.595239564340651,5.611323750514024,410.8028824658078,426.7600000000001,442.7171175341923,7.478262974127032,0.2126674043620043,21.029493230517016,41.94462533844846,-20.915132107931445,21.039432339939584,22.344486023886155,21.523703664856978,24.056825762414874,8.42876880178793,168679695.0,-1.6903265296513423,412.51,-0.011293683113931308,-0.03431769303702337,-0.041807209563800796,-0.03647900323027231,-0.016903265296513426,0.011567393563917346,0.015864228133474875,-0.016903265296513426,-0.005437059519043608,0.0,-0.005842827928717376
2018-05-18,417.7,421.19,411.69,412.51,11440117.0,10671.85,10674.95,10589.1,10596.4,223000.0,71.6,71.75,70.99,71.28,211785.0,67.76,68.42,67.72,68.14,0.0,42.184092399959056,28.651576693162447,424.82517402737824,422.2676040663308,426.5735000000001,412.5642000000001,2.5575699610474203,-2.443003031573284,5.000572992620704,410.022544835958,426.5735000000001,443.12445516404216,7.759954692001297,0.0751453659135676,6.119972467848031,22.987490304122044,-16.86751783627401,20.456837409793717,21.34359514638616,19.806563049145076,25.66466883236009,8.505285315945935,157239578.0,-2.1073115166472856,411.41,-0.012165042266337744,-0.023321337247845464,-0.04606525911708259,-0.05599798617785712,-0.02107311516647281,0.00760353183038097,0.016078466589773334,-0.02107311516647281,-0.008078482031696255,-0.002937473772555488,0.0011754334410813971
2018-05-21,411.14,413.33,407.32,411.41,14491208.0,10616.7,10621.7,10505.8,10516.7,0.0,71.47,72.59,71.25,72.24,119892.0,67.98,68.54,67.98,67.97,0.0,41.4312050419462,27.599975336866173,422.76130110008927,421.4633370984545,426.65,412.9318,1.2979640016347955,-2.9620871927887267,4.260051194423522,410.4127536687689,426.65,442.8872463312312,7.611506542238893,0.0307086038755531,6.7177442176935065,11.289069972019515,-4.57132575432601,20.413448457433653,20.72644039868662,18.785512028765048,28.09002021112563,8.327050650521224,142748370.0,-4.082346358295251,409.37,-0.002666602021769049,-0.014799204961804535,-0.025925750544559145,-0.05598770106238948,-0.040823463582952524,0.007606661818954737,0.01570412390050076,-0.040823463582952524,-0.007521422369861308,0.013468013468013407,-0.0024948635162900246
2018-05-22,412.2,412.58,408.6,409.37,11310073.0,10518.45,10558.6,10490.55,10536.7,241700.0,72.53,72.83,71.9,72.13,723458.0,68.11,68.4,67.93,68.4,0.0,40.00520365957764,25.56945062037531,420.7011009308448,420.5675343504208,426.4455,413.06680000000006,0.1335665804239738,-3.301187691199639,3.434754271623613,409.4246787259801,426.4455,443.46632127402,7.98264785254855,-0.0016062305425745,6.857781281130823,6.5651659888907865,0.2926152922400362,20.37315871595645,20.41499806287508,18.119358364827093,27.093919074511422,8.016547032626848,131438297.0,-4.173689138576775,402.97,-0.0049585571570939235,-0.007611936680322895,-0.019684379415215836,-0.053326549961843495,-0.04173689138576775,0.008035538052688638,0.015615448809358671,-0.04173689138576775,0.0019017372369660723,-0.0015227021040974398,0.006326320435486421
2018-05-23,409.04,409.04,401.6,402.97,9991028.0,10521.1,10533.55,10417.8,10430.35,290900.0,72.11,72.26,71.19,71.84,702791.0,68.01,68.51,68.01,68.43,0.0,35.837777271103775,20.144924285592623,417.9732392491764,419.26401328742674,425.169,413.0594,-1.2907740382503334,-3.780422647899157,2.489648609648824,405.2195703550724,425.169,445.1184296449277,9.384235278172984,-0.0563818213129802,7.085851637028097,6.887125711950809,0.1987259250772881,21.076225089873684,20.744836773653667,16.862204685286564,31.464706747817385,7.998936530296357,121447269.0,-6.598831819024655,404.56,-0.015633778733175285,-0.020514814904839418,-0.023126712079707068,-0.04590870347570786,-0.06598831819024653,0.005365179675965084,0.013336323216397812,-0.06598831819024653,-0.010093292966488643,-0.004020518508248916,0.00043859649122812705
2018-05-24,403.74,406.83,402.04,404.56,11632489.0,10464.85,10535.15,10419.8,10513.85,297600.0,71.83,72.0,70.52,70.71,640725.0,68.31,68.4,68.26,68.65,0.0,37.57755614469333,24.770768373722728,415.9096639800724,418.1748271179877,423.9620000000001,412.9318,-2.2651631379153514,-3.80384939805134,1.5386862601359887,402.0842067888579,423.9620000000001,445.8397932111422,10.320638741746734,0.0565823341332526,5.582501064121279,6.508711327426733,-0.926210263305454,21.729072437082547,21.0511155765195,16.119695929008834,30.07919277084906,7.76972677813233,133079758.0,-6.654360867558832,406.75,0.003945703154080826,-0.011749761829152106,-0.016650057120633943,-0.031202854474484454,-0.06654360867558828,0.007770031125079345,0.013406175988563846,-0.06654360867558828,0.008005483996222473,-0.01572939866369727,0.0032149641969896336
2018-05-25,404.63,407.89,403.94,406.75,17782410.0,10533.05,10628.05,10524.0,10605.15,260800.0,70.65,70.8,67.42,67.88,955354.0,68.26,68.31,67.66,68.26,0.0,39.99113631650807,31.17717823894981,414.5004849062151,417.3285436277664,422.7575000000001,412.8342,-2.828058721551315,-3.493395985349843,0.665337263798528,399.8459567130563,422.7575000000001,445.6690432869438,10.839094888650704,0.1506673557620626,7.874408173436301,6.847586958195225,1.0268212152410756,22.128705698405614,21.60246539413965,16.522966438988675,28.94720903839116,7.496889151122877,150862168.0,-6.917936747677243,405.27,0.005413288510974779,0.009380350894607536,-0.0064000781688936526,-0.013963297859445833,-0.06917936747677245,0.008401542382948612,0.01341940598500295,-0.06917936747677245,0.008683783770930598,-0.040022627633998,-0.005680990531682473
2018-05-29,407.06,409.93,403.92,405.27,17878384.0,10689.4,10717.25,10616.1,10633.3,225800.0,66.49,67.35,65.92,66.73,1059750.0,67.39,67.99,67.37,67.4,0.0,38.89658845273821,29.21559297724031,413.0804103052589,416.43531817385775,421.016,412.7318,-3.3549078685988434,-3.216196105917897,-0.1387117626809463,398.3613698005528,421.016,443.67063019944726,10.761885628787144,0.1524772229479113,9.7848658526455,7.747258363401026,2.0376074892444747,22.099570805677693,21.91432162138012,17.534798348527737,27.26586952092739,7.390682783185528,132983784.0,-7.007640944448273,404.67,-0.0036385986478181254,0.0017549930789004797,0.005707620914708222,-0.014924284776743457,-0.07007640944448268,0.008409504378936164,0.012142079330642121,-0.07007640944448268,0.0026543707538317918,-0.01694166175603995,-0.01259888661002051
2018-05-30,404.12,407.81,400.47,404.67,13105124.0,10579.0,10648.7,10558.45,10614.35,238700.0,66.85,68.67,66.35,68.21,726886.0,67.83,68.14,67.37,68.13,0.0,38.43728685469445,28.37131365345256,411.7865010275268,415.5638131239424,419.9735,412.7698,-3.777312096415585,-2.9108802669877107,-0.8664318294278741,396.2957384815131,419.9735,443.6512615184869,11.275835984168944,0.1768381168960698,10.719306703045383,9.459526909709062,1.2597797933363228,22.487402670669223,22.30805418453742,16.290327281329475,28.666623887111587,7.38706258438656,119878660.0,-6.419536109890616,406.99,-0.0014804944851579682,-0.005113706207744317,0.0002719003361677519,-0.01148105625717566,-0.06419536109890611,0.008347970804245802,0.010030727120623915,-0.06419536109890611,-0.0017821372480790743,0.022178930016484077,0.01083086053412452
2018-05-31,406.83,407.41,403.99,406.99,37080158.0,10670.1,10763.8,10620.4,10736.15,610300.0,68.24,68.3,66.56,67.04,917563.0,67.43,67.77,67.3,67.43,0.0,41.32250989331283,36.63214875536944,411.0485777925227,414.9287158555022,418.83949999999993,412.9579999999999,-3.88013806297954,-2.410964986841333,-1.4691730761382074,394.945643070919,418.83949999999993,442.73335692908086,11.409552790069194,0.2520387764275503,11.708952689991111,10.737708415227331,0.9712442747637802,22.84753225958993,22.473551532633813,15.73014236465629,27.680848092913266,7.103700971216092,156958818.0,-3.639075670044513,411.05,0.0057330664492054595,0.004244084190786479,0.0005900430239704768,0.009975928729185846,-0.036390756700445115,0.004280174492093747,0.009810985468224495,-0.036390756700445115,0.01147503144328188,-0.01715291013047926,-0.010274475267870065
2018-06-01,406.39,413.35,405.71,411.05,19174278.0,10738.45,10764.75,10681.5,10696.2,220600.0,67.07,67.34,65.51,65.81,781103.0,67.42,67.49,66.92,67.43,0.0,46.084595918004766,48.70920830418146,411.04879659367305,414.6414035699095,418.1535,413.2676,-3.592606976236425,-1.698747120078574,-1.893859856157851,394.1888485975255,418.1535,442.11815140247455,11.46213120419872,0.3517921274818439,17.207949587978636,13.212069660338376,3.9958799276402575,22.00643429897449,22.24691848482185,20.46880391550169,25.56583293650351,7.142008044700661,176133096.0,-1.5661294571230069,415.6,0.009975675078011781,0.015765932735315236,0.01426209687368929,0.016042119833893587,-0.01566129457123011,0.0056102206462434415,0.009971754681752518,-0.01566129457123011,-0.0037210731966299537,-0.018347255369928428,0.0
2018-06-04,412.31,416.99,411.05,415.6,12250151.0,10765.95,10770.3,10618.35,10628.5,203800.0,65.71,66.04,64.57,64.75,696050.0,66.99,67.32,66.87,66.93,0.0,50.89439383972786,58.94064275348267,411.748981733108,414.7124107128792,417.864,413.7186,-2.963428979771209,-0.855655298890686,-2.1077736808805225,393.9240941830103,417.864,441.8039058169896,11.458228426947365,0.4527149351107046,26.03813216997897,18.318344815982904,7.719787353996065,20.60279201784149,21.72516213871571,22.922687380359548,24.02859784252516,7.056150327222042,188383247.0,0.7490727497515289,418.61,0.011069212991120292,0.021155310941300742,0.027009662193886452,0.021757836508912165,0.007490727497515337,0.006643034494007306,0.010236691694859126,0.007490727497515337,-0.00632935061049722,-0.016106974623917414,-0.007415097137772553
